date,val
05-03-2020,2058.5
05-03-2020,24.36
06-03-2020,89.833
06-03-2020,30.947
06-03-2020,54.25
06-03-2020,37.8
06-03-2020,95
06-03-2020,6.441
06-03-2020,73.324
06-03-2020,37.871
06-03-2020,26.444
06-03-2020,106.615
06-03-2020,28
06-03-2020,22.008
06-03-2020,54.833
06-03-2020,50.152
06-03-2020,321.3
06-03-2020,677
06-03-2020,2559.2
06-03-2020,19.26
07-03-2020,39.701
07-03-2020,29.667
07-03-2020,26.444
07-03-2020,24.062
07-03-2020,8.833
07-03-2020,125.417
07-03-2020,6.244
07-03-2020,59.618
07-03-2020,31.815
07-03-2020,13.638
07-03-2020,137.9
07-03-2020,22.439
07-03-2020,24.113
07-03-2020,45.167
07-03-2020,22.492
07-03-2020,500.5
07-03-2020,588
07-03-2020,3692.5
07-03-2020,15.441
07-03-2020,497
08-03-2020,28.236
08-03-2020,13.59
08-03-2020,28.75
08-03-2020,27.222
08-03-2020,23.625
08-03-2020,7.404
08-03-2020,96.444
08-03-2020,6.059
08-03-2020,49.162
08-03-2020,26.185
08-03-2020,14
08-03-2020,12.765
08-03-2020,134.4
08-03-2020,61.25
08-03-2020,19.515
08-03-2020,25.369
08-03-2020,31.889
08-03-2020,19.52
08-03-2020,575.4
08-03-2020,581
08-03-2020,1353.625
08-03-2020,22.519
08-03-2020,14.019
08-03-2020,176.4
09-03-2020,27.205
09-03-2020,12.106
09-03-2020,32.103
09-03-2020,38.294
09-03-2020,31.889
09-03-2020,19.833
09-03-2020,8.481
09-03-2020,71.931
09-03-2020,5.36
09-03-2020,45.44
09-03-2020,24.231
09-03-2020,8.75
09-03-2020,13.5
09-03-2020,93.5
09-03-2020,73.5
09-03-2020,24.453
09-03-2020,27.452
09-03-2020,30.121
09-03-2020,19.341
09-03-2020,550.2
09-03-2020,672
09-03-2020,1476.417
09-03-2020,21.376
09-03-2020,14.617
09-03-2020,89
10-03-2020,20.752
10-03-2020,855.4
10-03-2020,10.719
10-03-2020,29.75
10-03-2020,29
10-03-2020,18.926
10-03-2020,35
10-03-2020,16.265
10-03-2020,16.273
10-03-2020,9.492
10-03-2020,81.828
10-03-2020,4.891
10-03-2020,40.95
10-03-2020,26.6
10-03-2020,49
10-03-2020,14
10-03-2020,14.398
10-03-2020,85.4
10-03-2020,35
10-03-2020,89.25
10-03-2020,29.76
10-03-2020,22.892
10-03-2020,817
10-03-2020,7
10-03-2020,31.208
10-03-2020,26.739
10-03-2020,21.549
10-03-2020,644
10-03-2020,657
10-03-2020,1013.711
10-03-2020,18.871
10-03-2020,14.258
10-03-2020,92.556
11-03-2020,14.089
11-03-2020,855.4
11-03-2020,10.169
11-03-2020,42
11-03-2020,24.259
11-03-2020,11.102
11-03-2020,32.455
11-03-2020,19.091
11-03-2020,15.096
11-03-2020,11.667
11-03-2020,44.1
11-03-2020,5.664
11-03-2020,35.513
11-03-2020,11.69
11-03-2020,37
11-03-2020,56
11-03-2020,14
11-03-2020,17.086
11-03-2020,59.043
11-03-2020,49
11-03-2020,137.667
11-03-2020,27.541
11-03-2020,37.459
11-03-2020,5091.333
